net1,stn1,net2,stn2,dist_km,technique,converged,best_delta_km_s,bad_quality_fraction,n_candidate_crossings,n_accepted_picks,freq_coverage_fraction,mean_amp_ratio,n_templates_converged,n_templates_scanned,matlab_coh_num,matlab_rel_l2_error,runtime_s,error
XV,LONA,XV,TANS,548.8623019039342,FastMspec,False,,0.93,300,0,0.0,inf,0,33,3240.0,0.057085544546376564,337.38470435142517,
XV,LONA,XV,TANS,548.8623019039342,Mspec,False,,0.9583333333333334,120,6,0.0,2.189336047885235,0,33,,,1246.2181134223938,
XV,LONA,XV,TANS,548.8623019039342,MspecBestK,False,,0.9265175718849841,313,7,0.0,2.437313570053003,0,33,,,362.4055700302124,
XV,LONA,XV,TANS,548.8623019039342,single-taper,False,,0.6187766714082503,2109,3,0.0,2.219650538734746,0,33,3240.0,4.317077917201819e-10,427.7823030948639,
XV,LONA,XV,VATO,620.9607164073652,FastMspec,False,,0.9450171821305842,291,8,0.0,6.109002733080671,0,33,2550.0,9.031454093308332e-05,321.0941321849823,
XV,LONA,XV,VATO,620.9607164073652,Mspec,False,,0.9823529411764705,170,0,0.0,,0,33,,,961.1019649505615,
XV,LONA,XV,VATO,620.9607164073652,MspecBestK,False,,0.9347079037800687,291,32,0.0,6.3305622438450335,0,33,,,284.3926169872284,
XV,LONA,XV,VATO,620.9607164073652,single-taper,False,,0.6661669165417291,2001,6,0.0,1.4555713339604301,0,33,2550.0,7.041898175062682e-13,377.03868412971497,
XV,LONA,XV,VINA,523.7051451234886,FastMspec,False,,0.8921161825726142,241,82,0.0,9.598286048820986,0,33,5415.0,0.031380916354955796,1324.1213874816895,
XV,LONA,XV,VINA,523.7051451234886,Mspec,False,,0.9906542056074766,107,0,0.0,,0,33,,,2363.154159784317,
XV,LONA,XV,VINA,523.7051451234886,MspecBestK,False,,0.8921161825726142,241,82,0.0,9.462312170230192,0,33,,,1282.5422565937042,
XV,LONA,XV,VINA,523.7051451234886,single-taper,False,,0.6788553259141494,1887,3,0.0,1.5949283001967842,0,33,5415.0,2.072990702881059e-12,334.6753535270691,
XV,LONA,XV,ZAKA,699.3041586641864,FastMspec,True,0.6000000000000012,0.7881944444444444,288,518,0.32,1.8898362007906793,3,33,4425.0,0.004349544106262761,1370.9897768497467,
XV,LONA,XV,ZAKA,699.3041586641864,Mspec,False,,0.9426229508196722,122,0,0.0,,0,33,,,1715.0238392353058,
XV,LONA,XV,ZAKA,699.3041586641864,MspecBestK,True,0.350000000000001,0.7951388888888888,288,723,0.3466666666666667,2.7839404133180143,4,33,,,1299.0713379383087,
XV,LONA,XV,ZAKA,699.3041586641864,single-taper,False,,0.6922666666666667,1875,11,0.0,1.7548664046155347,0,33,4425.0,5.01211890307482e-09,382.5491786003113,
XV,LONA,XV,ZOBE,602.3219057842366,FastMspec,False,,0.915929203539823,226,1,0.0,inf,0,33,5895.0,0.029600484996834205,622.7162396907806,
XV,LONA,XV,ZOBE,602.3219057842366,Mspec,False,,0.9726027397260274,73,18,0.0,inf,0,33,,,2420.9456131458282,
XV,LONA,XV,ZOBE,602.3219057842366,MspecBestK,False,,0.9099099099099099,222,9,0.0,inf,0,33,,,1376.6735935211182,
XV,LONA,XV,ZOBE,602.3219057842366,single-taper,False,,0.7451317296678122,1746,2,0.0,1.2460887616630785,0,33,5895.0,3.7666577253806864e-11,395.9252698421478,
XV,MAGY,XV,MAHA,448.8081146941433,FastMspec,False,,0.8927038626609443,233,20,0.0,5.760243932120331,0,33,4125.0,7.3049708093782815e-09,1175.1506621837616,
XV,MAGY,XV,MAHA,448.8081146941433,Mspec,False,,0.9098360655737705,122,3,0.0,1.9190604521141617,0,33,,,2503.0724215507507,
XV,MAGY,XV,MAHA,448.8081146941433,MspecBestK,False,,0.8898678414096917,227,20,0.0,5.874197512928052,0,33,,,660.1484384536743,
XV,MAGY,XV,MAHA,448.8081146941433,single-taper,False,,0.7121212121212122,1716,9,0.0,2.108061954051382,0,33,4125.0,9.239746298307822e-13,355.05203437805176,
XV,MAGY,XV,MAJA,481.8349305839754,FastMspec,False,,0.8831168831168831,231,2,0.0,5.6151841448442585,0,33,4125.0,0.0006781713598702627,429.7706084251404,
XV,MAGY,XV,MAJA,481.8349305839754,Mspec,False,,0.9705882352941176,102,21,0.0,44.900278475726644,0,33,,,1781.2632131576538,
XV,MAGY,XV,MAJA,481.8349305839754,MspecBestK,False,,0.8841201716738197,233,2,0.0,5.6572945104442045,0,33,,,390.61431407928467,
XV,MAGY,XV,MAJA,481.8349305839754,single-taper,False,,0.737315350032113,1557,3,0.0,3.0832777798907807,0,33,4125.0,3.9944466285607786e-13,216.84258365631104,
XV,MAGY,XV,MKVA,587.5175983340191,FastMspec,False,,0.8888888888888888,288,4,0.0,8.243516418323399,0,33,1695.0,0.000531591391110968,229.80595421791077,
XV,MAGY,XV,MKVA,587.5175983340191,Mspec,False,,0.9685534591194969,159,1,0.0,inf,0,33,,,701.1349511146545,
XV,MAGY,XV,MKVA,587.5175983340191,MspecBestK,False,,0.8881118881118881,286,4,0.0,8.32340157589084,0,33,,,164.77679181098938,
XV,MAGY,XV,MKVA,587.5175983340191,single-taper,False,,0.6989061600460564,1737,10,0.0,1.847828121184697,0,33,1695.0,5.419518937265246e-13,576.3481588363647,
XV,MAGY,XV,MMBE,643.3135811249615,FastMspec,False,,0.9271070615034168,439,0,0.0,,0,33,4125.0,0.0021843746781580737,1193.144543170929,
XV,MAGY,XV,MMBE,643.3135811249615,Mspec,False,,0.9608938547486033,179,9,0.0,2.224626049705586,0,33,,,1712.1813294887543,
XV,MAGY,XV,MMBE,643.3135811249615,MspecBestK,False,,0.9196217494089834,423,0,0.0,,0,33,,,1070.0720255374908,
XV,MAGY,XV,MMBE,643.3135811249615,single-taper,False,,0.5904842820730671,2354,12,0.0,2.0571249788777446,0,33,4125.0,2.4024005342017803e-12,304.82572960853577,
XV,MAGY,XV,SOLA,384.43912703289396,FastMspec,False,,0.9772727272727273,264,4,0.0,inf,0,33,,,755.890590429306,
XV,MAGY,XV,SOLA,384.43912703289396,Mspec,False,,0.9901960784313726,102,0,0.0,,0,33,,,731.3814718723297,
XV,MAGY,XV,SOLA,384.43912703289396,MspecBestK,False,,0.9689922480620154,258,11,0.0,1.9205570308347024,0,33,,,756.3451209068298,
XV,MAGY,XV,SOLA,384.43912703289396,single-taper,False,,0.6452232357177148,2083,10,0.0,1.3917350232312695,0,33,,,606.4152269363403,
XV,MAGY,XV,TANS,156.4311843237626,FastMspec,True,0.45000000000000107,0.88,125,234,0.27848101265822783,36.22435450977414,5,33,1485.0,5.558865012421815e-09,868.2916173934937,
XV,MAGY,XV,TANS,156.4311843237626,Mspec,True,0.6000000000000012,0.7407407407407407,54,248,0.36923076923076925,26.14070163028712,20,33,,,1713.0826330184937,
XV,MAGY,XV,TANS,156.4311843237626,MspecBestK,True,0.400000000000001,0.8739495798319328,119,238,0.27848101265822783,35.432851695568836,5,33,,,854.6317262649536,
XV,MAGY,XV,TANS,156.4311843237626,single-taper,False,,0.8110566829951015,1429,2,0.0,1.3606798679056487,0,33,1485.0,1.0997263527668599e-12,125.61176204681396,
XV,MAGY,XV,VINA,415.10599666943153,FastMspec,True,0.350000000000001,0.8084112149532711,214,590,0.4266666666666667,9.922094697977482,12,33,1710.0,8.100595645952776e-05,1135.7264075279236,
XV,MAGY,XV,VINA,415.10599666943153,Mspec,False,,0.9235668789808917,157,0,0.0,,0,33,,,766.5804853439331,
XV,MAGY,XV,VINA,415.10599666943153,MspecBestK,True,0.30000000000000093,0.7952380952380952,210,600,0.4266666666666667,10.452144897666054,11,33,,,1143.3209869861603,
XV,MAGY,XV,VINA,415.10599666943153,single-taper,False,,0.7069486404833837,1655,28,0.0,1.5507415807103104,0,33,1710.0,1.3395934237228845e-12,411.7885353565216,
XV,MAGY,XV,ZAKA,173.7090057575934,FastMspec,True,0.6500000000000012,0.8235294117647058,119,176,0.3013698630136986,21.690354263764245,17,33,1785.0,6.3381383599958404e-09,996.525087594986,
XV,MAGY,XV,ZAKA,173.7090057575934,Mspec,True,0.45000000000000107,0.7843137254901961,51,181,0.5178571428571429,inf,19,33,,,2654.4297049045563,
XV,MAGY,XV,ZAKA,173.7090057575934,MspecBestK,True,0.6500000000000012,0.8235294117647058,119,176,0.3013698630136986,21.485392673140222,17,33,,,934.132660150528,
XV,MAGY,XV,ZAKA,173.7090057575934,single-taper,False,,0.8306836248012719,1258,8,0.0,1.913425042178828,0,33,1785.0,4.0202441587987393e-13,286.73654413223267,
XV,MAGY,XV,ZOBE,226.25251620026904,FastMspec,False,,0.9568965517241379,116,3,0.0,18.556100255542745,0,33,2010.0,8.549576585635694e-09,930.6492490768433,
XV,MAGY,XV,ZOBE,226.25251620026904,Mspec,False,,0.9827586206896551,58,2,0.0,inf,0,33,,,917.9108982086182,
XV,MAGY,XV,ZOBE,226.25251620026904,MspecBestK,False,,0.923728813559322,118,7,0.0,35.90452173255483,0,33,,,911.7333278656006,
